STATE,YEAR,TOTAL_REVENUE_GROSS,FEDERAL_REVENUE_GROSS,STATE_REVENUE_GROSS,LOCAL_REVENUE_GROSS,TOTAL_EXPENDITURE_GROSS,INSTRUCTION_EXPENDITURE_GROSS,SUPPORT_SERVICES_EXPENDITURE_GROSS,CAPITAL_OUTLAY_EXPENDITURE_GROSS,ENROLMENT_GROSS,RULING_PARTY,POPULATION,AVERAGE_SCORE_GROSS,AM_AVERAGE_SCORE_GROSS,AS_AVERAGE_SCORE_GROSS,HI_AVERAGE_SCORE_GROSS,BL_AVERAGE_SCORE_GROSS,WH_AVERAGE_SCORE_GROSS,HP_AVERAGE_SCORE_GROSS,TR_AVERAGE_SCORE_GROSS,TOTAL_REVENUE_PCT,FEDERAL_REVENUE_PCT,STATE_REVENUE_PCT,LOCAL_REVENUE_PCT,TOTAL_EXPENDITURE_PCT,INSTRUCTION_EXPENDITURE_PCT,SUPPORT_SERVICES_EXPENDITURE_PCT,CAPITAL_OUTLAY_EXPENDITURE_PCT,ENROLMENT_PCT,AVERAGE_SCORE_PCT,AM_AVERAGE_SCORE_PCT,AS_AVERAGE_SCORE_PCT,HI_AVERAGE_SCORE_PCT,BL_AVERAGE_SCORE_PCT,WH_AVERAGE_SCORE_PCT,HP_AVERAGE_SCORE_PCT,TR_AVERAGE_SCORE_PCT,TOTAL_REVENUE_PC,FEDERAL_REVENUE_PC,STATE_REVENUE_PC,LOCAL_REVENUE_PC,TOTAL_EXPENDITURE_PC,INSTRUCTION_EXPENDITURE_PC,SUPPORT_SERVICES_EXPENDITURE_PC,CAPITAL_OUTLAY_EXPENDITURE_PC,ENROLMENT_PC
Louisiana,1992,3341253,367822,1848734,1124697,3362853,1888349,986486,135305,61125,Republican,4269774,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782536265,0.086145543,0.432981699,0.263409024,0.787595081,0.442259707,0.231039395,0.031689031,0.014315746
Maine,1992,1206819,73160,511654,622005,1228869,685350,317880,97128,17154,Republican,1237327,229.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975343624,0.059127458,0.413515586,0.50270058,0.993164297,0.553895615,0.256908643,0.078498247,0.013863756
Maryland,1992,4658498,228336,1778834,2651328,4698374,2628891,1461083,340298,60287,Democrat,4884472,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953736248,0.046747325,0.36418143,0.542807493,0.961900078,0.538213956,0.299128135,0.069669352,0.012342583
Massachusetts,1992,5517659,273946,1439051,3804662,5245560,2751871,1523068,167247,66822,Republican,6082959,226.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907068254,0.04503499,0.236570886,0.625462378,0.862336899,0.452390194,0.25038275,0.027494349,0.010985114
Michigan,1992,9963137,537917,2539380,6885840,10170688,4681327,3321276,825552,118963,Republican,9423926,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.057217236,0.057079926,0.269460944,0.730676366,1.079241072,0.496749126,0.352430187,0.087601707,0.012623507
Minnesota,1992,4684684,194092,2380754,2109838,4981125,2534882,1343203,463724,62606,Republican,4483975,224.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0447614,0.043285701,0.530947206,0.470528493,1.110872607,0.565320279,0.299556309,0.103418061,0.013962165
Mississippi,1992,1684706,277706,901199,505801,1691990,956104,445364,131795,39839,Republican,2627504,200.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641181136,0.105691942,0.342986728,0.192502466,0.643953349,0.363882986,0.169500789,0.050159771,0.015162299
Missouri,1992,4043682,255194,1903124,1885364,4197600,2168135,1221397,474552,67098,Republican,5212701,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775736418,0.048956194,0.365093643,0.361686581,0.805263912,0.415933122,0.234311732,0.091037641,0.012872022
Montana,1992,828983,69947,337455,421581,781009,412219,241644,64263,12839,Republican,819691,217.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.011335979,0.085333376,0.411685623,0.51431698,0.952809046,0.502895603,0.294798894,0.078399055,0.015663219
Nebraska,1992,1542413,85423,492256,964734,1534046,909159,394690,132183,22133,Democrat,1604961,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961028337,0.053224346,0.30670901,0.60109498,0.955815126,0.56646797,0.245918748,0.082359011,0.013790366
Nevada,1992,1097076,45018,724032,328026,1251651,572623,334685,249189,18487,Democrat,1361118,217.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806010941,0.033074282,0.531939185,0.240997474,0.919575672,0.420700483,0.245889776,0.183076706,0.013582217
New Hampshire,1992,1063391,31020,86296,946075,1066647,581123,310285,63554,15611,Republican,1134559,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937272544,0.02734102,0.076061271,0.833870253,0.940142381,0.512201657,0.273485116,0.056016479,0.013759531
New Jersey,1992,10814689,416063,4504718,5893908,10452340,6042936,2911782,474259,82909,Democrat,7867020,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.374686857,0.052886989,0.572607925,0.749191943,1.328627612,0.76813533,0.370125155,0.060284453,0.010538806
New Mexico,1992,1330091,161520,990653,177918,1339829,683253,432392,139206,24447,Democrat,1575864,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844039206,0.102496154,0.628641177,0.112901875,0.850218674,0.433573582,0.274384084,0.088336303,0.015513395
New York,1992,21630179,1172030,8697663,11760486,22815611,13288972,6132532,1640971,197698,Democrat,18187656,216.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.189277992,0.064440959,0.478217919,0.646619114,1.254455824,0.73065886,0.337180998,0.090224436,0.0108699
North Carolina,1992,5236099,389145,3283378,1563576,5418687,2847638,1422278,774194,85244,Republican,6912772,212.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757452871,0.056293626,0.474972703,0.226186543,0.783866009,0.411938655,0.205746407,0.111994725,0.012331377
North Dakota,1992,559481,51476,242693,265312,553732,315009,152340,34904,9570,Republican,639480,227.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874899919,0.080496654,0.379516169,0.414887096,0.865909802,0.492601801,0.238224808,0.054581848,0.014965284
Ohio,1992,9285961,472604,3631703,5181654,9483822,5172782,2961942,742377,137839,Republican,10948320,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848163097,0.043166806,0.331713267,0.473283024,0.866235368,0.472472672,0.270538494,0.06780739,0.012589968
Oklahoma,1992,2396705,211627,1470516,714562,2515272,1283577,779828,194081,48793,Democrat,3206599,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747428974,0.065997339,0.45859055,0.222841085,0.78440491,0.400292335,0.243194737,0.060525498,0.015216433
Oregon,1992,2773959,163544,788309,1822106,2898210,1556770,967075,230464,41443,Democrat,2958137,217.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937738516,0.055286148,0.266488334,0.615964034,0.979741641,0.526267039,0.326920288,0.077908494,0.014009831
Pennsylvania,1992,11257252,658139,4227323,6371790,11539253,6075381,3329224,964457,131248,Democrat,11961525,222.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941121805,0.055021329,0.353410038,0.532690439,0.964697478,0.507910237,0.278327722,0.080629936,0.010972514
South Carolina,1992,2842626,249903,1350148,1242575,2922293,1544232,768292,261644,51081,Republican,3591765,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791428727,0.069576657,0.375900985,0.345951085,0.813609187,0.429936814,0.213903749,0.072845523,0.014221699
South Dakota,1992,551668,60671,147834,343163,593126,320561,169697,65568,10645,Republican,707772,217.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.779443097,0.085721108,0.208872349,0.484849641,0.838018458,0.452915628,0.23976224,0.092640003,0.015040154
