STATE,YEAR,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,ENROLMENT,RULING_PARTY,POPULATION,AVERAGE_SCORE,AM_AVERAGE_SCORE,AS_AVERAGE_SCORE,HI_AVERAGE_SCORE,BL_AVERAGE_SCORE,WH_AVERAGE_SCORE,HP_AVERAGE_SCORE,TR_AVERAGE_SCORE,TOTAL_REVENUE_PCT,FEDERAL_REVENUE_PCT,STATE_REVENUE_PCT,LOCAL_REVENUE_PCT,TOTAL_EXPENDITURE_PCT,INSTRUCTION_EXPENDITURE_PCT,SUPPORT_SERVICES_EXPENDITURE_PCT,CAPITAL_OUTLAY_EXPENDITURE_PCT,ENROLMENT_PCT,AVERAGE_SCORE_PCT,AM_AVERAGE_SCORE_PCT,AS_AVERAGE_SCORE_PCT,HI_AVERAGE_SCORE_PCT,BL_AVERAGE_SCORE_PCT,WH_AVERAGE_SCORE_PCT,HP_AVERAGE_SCORE_PCT,TR_AVERAGE_SCORE_PCT,TOTAL_REVENUE_PC,FEDERAL_REVENUE_PC,STATE_REVENUE_PC,LOCAL_REVENUE_PC,TOTAL_EXPENDITURE_PC,INSTRUCTION_EXPENDITURE_PC,SUPPORT_SERVICES_EXPENDITURE_PC,CAPITAL_OUTLAY_EXPENDITURE_PC,ENROLMENT_PC
Illinois,1992,9748650.0,597077.0,3073178.0,6078395.0,9850560.0,5010400.0,3148849.0,727858.0,133120.0,Republican,11628340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8383526797462062,0.05134670984852524,0.26428346608372305,0.5227225038139579,0.8471166133773178,0.4308783540900937,0.2707909297457763,0.06259345701966057,0.011447893680439341
Indiana,1992,5060274.0,257044.0,2578149.0,2225081.0,5182754.0,2598925.0,1478639.0,536404.0,73760.0,Democrat,5651424,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8953980448113609,0.04548304993573301,0.4561945803393976,0.3937204145362301,0.91707045870209,0.4598708219379753,0.26164007513858456,0.0949148391626606,0.013051577797029562
Iowa,1992,2663934.0,125665.0,1176205.0,1362064.0,2795774.0,1446478.0,800570.0,222086.0,37692.0,Republican,2806669,227.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.949144341566462,0.04477371574631708,0.41907506727726,0.4852955585428848,0.9961181742485488,0.5153717805697786,0.28523848020553905,0.07912796272022103,0.013429442517090544
Kansas,1992,2245348.0,121625.0,903199.0,1220524.0,2234915.0,1165749.0,708572.0,157705.0,36013.0,Democrat,2519743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8911019893695508,0.04826881154149451,0.3584488576811207,0.4843843201469356,0.8869614877390274,0.4626459920714137,0.2812080438362166,0.06258773216157362,0.014292330606732512
Kentucky,1992,2642902.0,289902.0,1643109.0,709891.0,2518082.0,1343438.0,817871.0,136694.0,49666.0,Democrat,3756591,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7035373294564141,0.0771715632604135,0.43739363694370775,0.18897212925229284,0.6703103957817074,0.3576215776484584,0.2177162752080277,0.03638777817441399,0.013221029385418857
Louisiana,1992,3341253.0,367822.0,1848734.0,1124697.0,3362853.0,1888349.0,986486.0,135305.0,61125.0,Republican,4269774,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7825362653854747,0.0861455430662138,0.4329816987971729,0.2634090235220881,0.78759508114481,0.44225970742245374,0.2310393945909081,0.03168903084800273,0.014315745985618909
Maine,1992,1206819.0,73160.0,511654.0,622005.0,1228869.0,685350.0,317880.0,97128.0,17154.0,Republican,1237327,229.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9753436237954882,0.05912745781834551,0.4135155864213745,0.5027005795557682,0.9931642969077698,0.5538956153062206,0.2569086425819529,0.07849824662356839,0.013863756306942305
Maryland,1992,4658498.0,228336.0,1778834.0,2651328.0,4698374.0,2628891.0,1461083.0,340298.0,60287.0,Democrat,4884472,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9537362482577442,0.04674732499234308,0.364181430459628,0.5428074928057731,0.9619000784526966,0.5382139563907828,0.2991281350369088,0.06966935218381844,0.012342582780697688
Massachusetts,1992,5517659.0,273946.0,1439051.0,3804662.0,5245560.0,2751871.0,1523068.0,167247.0,66822.0,Republican,6082959,226.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907068254117774,0.045034990372284284,0.23657088597835366,0.625462377767136,0.8623368988678043,0.4523901936541082,0.2503827495796043,0.02749434937832065,0.01098511431689742
Michigan,1992,9963137.0,537917.0,2539380.0,6885840.0,10170688.0,4681327.0,3321276.0,825552.0,118963.0,Republican,9423926,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0572172362134422,0.057079926136941225,0.2694609444089438,0.7306763656675572,1.0792410721391488,0.4967491255767501,0.35243018673958176,0.08760170654990287,0.01262350744265182
Minnesota,1992,4684684.0,194092.0,2380754.0,2109838.0,4981125.0,2534882.0,1343203.0,463724.0,62606.0,Republican,4483975,224.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0447614003200285,0.04328570074543234,0.5309472064407139,0.4705284931338824,1.1108726074520934,0.5653202794395598,0.2995563088554241,0.10341806098383688,0.01396216526630947
Mississippi,1992,1684706.0,277706.0,901199.0,505801.0,1691990.0,956104.0,445364.0,131795.0,39839.0,Republican,2627504,200.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6411811361657299,0.10569194185812847,0.3429867280887108,0.19250246621889064,0.6439533488816763,0.3638829855254264,0.16950078858110207,0.05015977140282184,0.015162298516006062
Missouri,1992,4043682.0,255194.0,1903124.0,1885364.0,4197600.0,2168135.0,1221397.0,474552.0,67098.0,Republican,5212701,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7757364176460534,0.0489561937275896,0.3650936433914011,0.36168658052706265,0.8052639121254029,0.4159331218115138,0.2343117320559917,0.09103764056292506,0.01287202162564091
Montana,1992,828983.0,69947.0,337455.0,421581.0,781009.0,412219.0,241644.0,64263.0,12839.0,Republican,819691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0113359790457623,0.0853333756256931,0.4116856229969586,0.5143169804231107,0.9528090463357534,0.5028956033432109,0.2947988937294663,0.07839905525374806,0.01566321943268866
Nebraska,1992,1542413.0,85423.0,492256.0,964734.0,1534046.0,909159.0,394690.0,132183.0,22133.0,Democrat,1604961,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9610283365140959,0.05322434626137333,0.3067090103747069,0.6010949798780157,0.9558151257257964,0.5664679702497444,0.24591874818142,0.08235901059278078,0.013790366245659552
